Ntows,s,iter
1068,5.0,150.0
1069,4.0,150.0
1070,1.0,150.0
1071,2.0,150.0
1072,0.0,150.0
1073,1.0,150.0
1074,2.0,150.0
1075,1.0,150.0
1076,2.0,150.0
1077,4.0,150.0
1078,8.0,150.0
1079,3.0,150.0
1080,1.0,150.0
1081,3.0,150.0
1082,3.0,150.0
1083,5.0,150.0
1084,2.0,150.0
1085,1.0,150.0
1086,5.0,150.0
1087,2.0,150.0
1088,1.0,150.0
1089,2.0,150.0
1090,2.0,150.0
1091,1.0,150.0
1092,0.0,150.0
1093,7.0,150.0
1094,5.0,150.0
1095,3.0,150.0
1096,1.0,150.0
1097,0.0,150.0
1098,3.0,150.0
1099,6.0,150.0
1100,3.0,150.0
1101,0.0,150.0
1102,3.0,150.0
1103,1.0,150.0
1104,1.0,150.0
1105,3.0,150.0
1106,4.0,150.0
1107,0.0,150.0
1108,4.0,150.0
1109,5.0,150.0
1110,3.0,150.0
1111,2.0,150.0
1112,3.0,150.0
1113,2.0,150.0
1114,1.0,150.0
1115,3.0,150.0
1116,1.0,150.0
1117,1.0,150.0
1118,3.0,150.0
1119,2.0,150.0
1120,1.0,150.0
1121,5.0,150.0
1122,3.0,150.0
1123,2.0,150.0
1124,4.0,150.0
1125,3.0,150.0
1126,4.0,150.0
1127,3.0,150.0
1128,3.0,150.0
1129,0.0,150.0
1130,3.0,150.0
1131,2.0,150.0
1132,1.0,150.0
1133,2.0,150.0
1134,5.0,150.0
1135,8.0,150.0
1136,3.0,150.0
1137,3.0,150.0
1138,3.0,150.0
1139,0.0,150.0
1140,3.0,150.0
1141,3.0,150.0
1142,5.0,150.0
1143,6.0,150.0
1144,2.0,150.0
1145,3.0,150.0
1146,4.0,150.0
1147,1.0,150.0
1148,4.0,150.0
1149,1.0,150.0
1150,4.0,150.0
1151,2.0,150.0
1152,4.0,150.0
1153,3.0,150.0
1154,2.0,150.0
1155,1.0,150.0
1156,6.0,150.0
1157,4.0,150.0
1158,0.0,150.0
1159,2.0,150.0
1160,2.0,150.0
1161,5.0,150.0
1162,2.0,150.0
1163,3.0,150.0
1164,0.0,150.0
1165,3.0,150.0
1166,4.0,150.0
1167,7.0,150.0
1168,1.0,150.0
1169,4.0,150.0
1170,5.0,150.0
1171,2.0,150.0
1172,3.0,150.0
1173,1.0,150.0
1174,2.0,150.0
1175,2.0,150.0
1176,4.0,150.0
1177,1.0,150.0
1178,4.0,150.0
1179,0.0,150.0
1180,3.0,150.0
1181,4.0,150.0
1182,3.0,150.0
1183,4.0,150.0
1184,3.0,150.0
1185,5.0,150.0
1186,5.0,150.0
1187,3.0,150.0
1188,2.0,150.0
1189,4.0,150.0
1190,7.0,150.0
1191,6.0,150.0
1192,3.0,150.0
1193,5.0,150.0
1194,4.0,150.0
1195,4.0,150.0
1196,7.0,150.0
1197,1.0,150.0
1198,3.0,150.0
1199,2.0,150.0
1200,1.0,150.0
1201,2.0,150.0
1202,3.0,150.0
1203,2.0,150.0
